created on: Tue Feb 20 01:16:55 2018

dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
14.0	2015-01-01	8025	ALICANTE/ALACANT	0.0	1027.2	1019.8	ALICANTE	4.7	8.6	16.0	9.6	3.2	1.4
19.0	2015-01-02	8025	ALICANTE/ALACANT	0.0	1028.8	1025.3	ALICANTE	4.2	8.8	18.1	10.0	2.0	1.1
99.0	2015-01-03	8025	ALICANTE/ALACANT	0.0	1027.8	1022.5	ALICANTE	7.2	8.6	19.5	11.3	3.1	2.2
6.0	2015-01-04	8025	ALICANTE/ALACANT	0.0	1022.5	1020.4	ALICANTE	6.1	8.8	20.3	13.4	6.5	1.7
99.0	2015-01-05	8025	ALICANTE/ALACANT	0.0	1021.5	1017.0	ALICANTE	4.2	8.9	16.9	10.8	4.8	1.1
7.0	2015-01-06	8025	ALICANTE/ALACANT	0.0	1018.1	1014.5	ALICANTE	5.0	8.9	15.6	9.6	3.5	1.1
12.0	2015-01-07	8025	ALICANTE/ALACANT	0.0	1023.8	1018.1	ALICANTE	4.7	4.6	17.2	11.1	5.0	0.8
13.0	2015-01-08	8025	ALICANTE/ALACANT	0.0	1031.1	1023.7	ALICANTE	4.4	8.4	17.3	10.8	4.2	1.1
18.0	2015-01-09	8025	ALICANTE/ALACANT	0.0	1034.0	1030.0	ALICANTE	6.1	8.9	19.1	11.0	3.0	1.4
20.0	2015-01-10	8025	ALICANTE/ALACANT	0.0	1030.0	1017.4	ALICANTE	4.2	9.0	21.7	12.5	3.3	1.1
31.0	2015-01-11	8025	ALICANTE/ALACANT	0.0	1024.0	1016.2	ALICANTE	9.4	9.0	20.8	13.4	6.0	1.1
7.0	2015-01-12	8025	ALICANTE/ALACANT	0.0	1025.4	1020.0	ALICANTE	5.3	6.7	18.3	11.8	5.3	0.8
23.0	2015-01-13	8025	ALICANTE/ALACANT	0.0	1020.0	1013.9	ALICANTE	5.0	7.9	20.1	13.6	7.0	1.4
7.0	2015-01-14	8025	ALICANTE/ALACANT	0.0	1017.8	1014.8	ALICANTE	4.4	8.1	20.6	13.6	6.7	1.1
20.0	2015-01-15	8025	ALICANTE/ALACANT		1014.9	1004.4	ALICANTE	6.1	8.9	20.0	12.9	5.8	1.9
31.0	2015-01-16	8025	ALICANTE/ALACANT		1011.1	1001.2	ALICANTE	12.8	3.4	15.1	11.6	8.0	2.8
30.0	2015-01-17	8025	ALICANTE/ALACANT	0.0	1013.1	1011.1	ALICANTE	8.9	9.0	15.0	9.4	3.9	1.7
19.0	2015-01-18	8025	ALICANTE/ALACANT	7.0	1012.5	998.5	ALICANTE	5.3	5.4	14.6	7.4	0.3	1.4
36.0	2015-01-19	8025	ALICANTE/ALACANT	0.2	1001.8	994.9	ALICANTE	10.6	0.0	11.1	9.5	7.9	2.5
34.0	2015-01-20	8025	ALICANTE/ALACANT	0.0	1001.3	998.8	ALICANTE	11.4	7.8	13.7	9.2	4.6	1.9
30.0	2015-01-21	8025	ALICANTE/ALACANT	0.0	1001.0	998.2	ALICANTE	9.2	8.8	14.5	8.6	2.6	2.5
33.0	2015-01-22	8025	ALICANTE/ALACANT	0.0	1007.5	998.3	ALICANTE	9.7	6.4	14.3	10.2	6.1	2.5
33.0	2015-01-23	8025	ALICANTE/ALACANT	0.0	1011.2	1007.4	ALICANTE	9.7	9.4	15.3	10.2	5.1	1.7
99.0	2015-01-24	8025	ALICANTE/ALACANT	0.0	1014.0	1011.1	ALICANTE	4.7	9.5	15.9	10.2	4.4	1.4
30.0	2015-01-25	8025	ALICANTE/ALACANT	0.0	1015.9	1009.8	ALICANTE	12.5	9.6	19.6	12.3	5.0	1.9
14.0	2015-01-26	8025	ALICANTE/ALACANT	0.0	1017.7	1015.3	ALICANTE	5.8	9.4	16.8	10.6	4.5	1.4
28.0	2015-01-27	8025	ALICANTE/ALACANT	0.0	1017.6	1011.1	ALICANTE	5.8	9.4	18.9	11.4	3.8	1.9
18.0	2015-01-28	8025	ALICANTE/ALACANT	0.0	1014.6	1010.3	ALICANTE	6.7	9.7	17.5	11.4	5.4	1.9
28.0	2015-01-29	8025	ALICANTE/ALACANT	0.0	1010.3	994.5	ALICANTE	11.1	8.2	21.5	13.5	5.5	3.3
22.0	2015-01-30	8025	ALICANTE/ALACANT	0.0	994.5	983.2	ALICANTE	14.4	6.8	23.5	19.6	15.8	4.2
24.0	2015-01-31	8025	ALICANTE/ALACANT	2.4	996.2	980.1	ALICANTE	19.7	6.8	20.2	14.9	9.6	5.0
99.0	2015-02-01	8025	ALICANTE/ALACANT	0.0	1006.3	996.1	ALICANTE	16.7	9.7	12.9	10.2	7.6	4.7
28.0	2015-02-02	8025	ALICANTE/ALACANT	1.8	1006.2	995.5	ALICANTE	10.0	5.4	15.6	11.8	8.0	2.8
30.0	2015-02-03	8025	ALICANTE/ALACANT	0.0	995.5	988.6	ALICANTE	15.8	7.6	16.9	12.6	8.3	3.6
32.0	2015-02-04	8025	ALICANTE/ALACANT	0.0	996.5	987.2	ALICANTE	13.3	7.4	12.0	8.4	4.8	4.2
26.0	2015-02-05	8025	ALICANTE/ALACANT	0.0	1002.3	993.9	ALICANTE	12.8	8.5	13.2	8.4	3.7	2.8
