created on: Tue Feb 20 01:16:55 2018

dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
14.0	2015-01-01	8025	ALICANTE/ALACANT	0.0	1027.2	1019.8	ALICANTE	4.7	8.6	16.0	9.6	3.2	1.4
5.0	2015-01-01	7247X	PINOSO 	0.0			ALICANTE	4.4		12.1	3.7	-4.7	1.1
	2015-01-01	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1033.5	1026.0	ALICANTE		6.8	15.9	10.8	5.7	1.9
19.0	2015-01-02	8025	ALICANTE/ALACANT	0.0	1028.8	1025.3	ALICANTE	4.2	8.8	18.1	10.0	2.0	1.1
99.0	2015-01-02	7247X	PINOSO 	0.0			ALICANTE	2.8		16.2	5.8	-4.6	1.1
99.0	2015-01-02	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1035.2	1031.8	ALICANTE	6.1	8.9	17.1	9.6	2.0	1.9
99.0	2015-01-03	8025	ALICANTE/ALACANT	0.0	1027.8	1022.5	ALICANTE	7.2	8.6	19.5	11.3	3.1	2.2
22.0	2015-01-03	7247X	PINOSO 	0.0			ALICANTE	3.9		19.0	7.4	-4.1	0.6
25.0	2015-01-03	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1034.2	1028.9	ALICANTE	9.2	9.0	19.0	11.0	3.0	4.4
6.0	2015-01-04	8025	ALICANTE/ALACANT	0.0	1022.5	1020.4	ALICANTE	6.1	8.8	20.3	13.4	6.5	1.7
21.0	2015-01-04	7247X	PINOSO 	0.0			ALICANTE	4.7		20.3	9.2	-1.9	0.8
25.0	2015-01-04	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1028.9	1026.4	ALICANTE	8.9	9.0	20.6	13.2	5.9	2.5
99.0	2015-01-05	8025	ALICANTE/ALACANT	0.0	1021.5	1017.0	ALICANTE	4.2	8.9	16.9	10.8	4.8	1.1
22.0	2015-01-05	7247X	PINOSO 	0.0			ALICANTE	4.7		15.6	6.6	-2.3	1.1
